,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361
glaceon ,,,,avalanche,babydolleyes,,batonpass,bite,blizzard,bodyslam,calmmind,,,charm,chillingwater,,copycat,covet,dig,doubleedge,,,endure,facade,faketears,,freezedry,,,gigaimpact,growl,,,,helpinghand,,hyperbeam,hypervoice,icebeam,icefang,iceshard,,icywind,,,lastresort,mirrorcoat,mudshot,mudslap,,,protect,quickattack,raindance,rest,,,,,,sandattack,,shadowball,,sleeptalk,,snowscape,storedpower,,substitute,sunnyday,,swift,tackle,tailwhip,takedown,terablast,,,waterpulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
articuno ,aerialace,agility,aircutter,airslash,ancientpower,,avalanche,,blizzard,bravebird,,,,,,,,,endure,,facade,fly,freezedry,,,gigaimpact,gust,,haze,,,helpinghand,,hurricane,hyperbeam,icebeam,iceshard,icespinner,,icywind,,,lightscreen,,,,mist,,,,,,powdersnow,protect,,raindance,,reflect,rest,,,,roost,,sandstorm,,sheercold,,,,sleeptalk,,snowscape,,substitute,sunnyday,,swift,tailwind,takedown,terablast,,,,uturn,,waterpulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
articunogalar ,agility,aircutter,airslash,,ancientpower,bravebird,calmmind,confusion,doubleteam,dreameater,,endure,,facade,fly,freezingglare,futuresight,gigaimpact,,gust,helpinghand,hurricane,hyperbeam,hypervoice,hypnosis,imprison,lightscreen,,,protect,psybeam,psychic,psychocut,,psyshock,raindance,recover,reflect,rest,,scaryface,shadowball,skillswap,sleeptalk,,snowscape,,storedpower,substitute,sunnyday,swift,tailwind,takedown,terablast,trick,trickroom,uturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapdos ,acrobatics,aerialace,agility,aircutter,ancientpower,batonpass,,bravebird,charge,,,,,detect,discharge,,,drillpeck,,eerieimpulse,electricterrain,electroball,endure,,facade,,fly,,gigaimpact,,,heatwave,helpinghand,,hurricane,hyperbeam,,,lightscreen,magneticflux,,,,,,peck,pluck,protect,,raindance,,,rest,,,,,roost,,sandstorm,,,,,,sleeptalk,,,substitute,sunnyday,,swift,tailwind,takedown,terablast,thunder,thunderbolt,thundershock,thunderwave,,,uturn,voltswitch,,,wildcharge,zapcannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapdosgalar ,acrobatics,aerialace,agility,ancientpower,,,,bravebird,brickbreak,bulkup,closecombat,,counter,detect,drillpeck,,endure,facade,fly,focusenergy,gigaimpact,helpinghand,hurricane,hyperbeam,lightscreen,lowkick,lowsweep,,,peck,pluck,protect,quickguard,raindance,rest,,,reversal,rocksmash,,sandstorm,scaryface,,sleeptalk,,,stompingtantrum,substitute,sunnyday,,swift,tailwind,takedown,taunt,terablast,,thunderouskick,trailblaze,uturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moltres ,acrobatics,aerialace,agility,aircutter,airslash,ancientpower,,bravebird,,,,,,,,,,ember,endure,,facade,fireblast,firespin,flamecharge,flamethrower,flareblitz,fly,,gigaimpact,gust,,heatwave,helpinghand,,hurricane,hyperbeam,incinerate,,leer,,,,,,,overheat,,,protect,,raindance,,,rest,,,,roost,,safeguard,sandstorm,,,skyattack,,sleeptalk,,solarbeam,,substitute,sunnyday,,swift,tailwind,takedown,terablast,,,uturn,,,willowisp,wingattack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moltresgalar ,acrobatics,aerialace,afteryou,agility,airslash,ancientpower,,bravebird,darkpulse,,endure,facade,fierywrath,fly,foulplay,gigaimpact,gust,helpinghand,hex,hurricane,hyperbeam,hypervoice,imprison,,leer,memento,nastyplot,payback,protect,raindance,rest,,safeguard,sandstorm,scaryface,shadowball,skyattack,sleeptalk,snarl,,,substitute,suckerpunch,sunnyday,swift,tailwind,takedown,taunt,terablast,thief,uturn,wingattack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dratini ,agility,aquajet,aquatail,,,,blizzard,bodyslam,,,,,chillingwater,,,,,,dracometeor,dragonbreath,dragondance,dragonpulse,,dragonrush,dragontail,endure,extremespeed,facade,fireblast,firespin,flamethrower,,gigaimpact,,,,helpinghand,,hydropump,hyperbeam,icebeam,icywind,,ironhead,,leer,lightscreen,,mist,,outrage,protect,,raindance,,rest,,,safeguard,,,,,slam,sleeptalk,,substitute,sunnyday,supersonic,surf,,swift,takedown,terablast,thunder,thunderbolt,thunderwave,,twister,waterfall,,waterpulse,,wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragonair ,agility,aquatail,,,,blizzard,bodyslam,,,,,chillingwater,,,,,,dracometeor,,dragondance,dragonpulse,,dragonrush,dragontail,endure,facade,fireblast,firespin,flamethrower,,gigaimpact,,,helpinghand,,,hydropump,hyperbeam,icebeam,icywind,,ironhead,,leer,lightscreen,,,outrage,protect,,raindance,,rest,,,safeguard,,,,,slam,sleeptalk,,substitute,sunnyday,surf,,swift,takedown,terablast,thunder,thunderbolt,thunderwave,,twister,waterfall,,waterpulse,,wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragonite ,aerialace,agility,aircutter,airslash,,aquatail,,,,,blizzard,bodypress,bodyslam,,brickbreak,,,bulldoze,,chillingwater,,,,,,,,,dracometeor,,dragonclaw,dragondance,dragonpulse,,dragonrush,dragontail,,,earthquake,encore,endure,extremespeed,facade,fireblast,firepunch,firespin,flamethrower,fling,fly,focusblast,,,,gigaimpact,,,,heatwave,helpinghand,,,,hurricane,hydropump,hyperbeam,icebeam,icepunch,icespinner,icywind,,ironhead,,leer,lightscreen,lowkick,,,metronome,,,,,,outrage,,protect,,raindance,,,rest,,,rockslide,,rocktomb,roost,,safeguard,sandstorm,,scaryface,,,,,slam,sleeptalk,,snowscape,,stompingtantrum,stoneedge,,substitute,sunnyday,,surf,,swift,tailwind,takedown,terablast,thunder,thunderbolt,thunderpunch,thunderwave,,twister,waterfall,,waterpulse,,wingattack,wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mewtwo ,,agility,,amnesia,ancientpower,,aurasphere,avalanche,,,blizzard,bodyslam,brickbreak,,,bulkup,bulldoze,calmmind,,chillingwater,,confuseray,confusion,,,darkpulse,,disable,,,,drainpunch,,,earthpower,earthquake,electroball,,endure,energyball,,facade,fireblast,firepunch,flamethrower,,fling,focusblast,,foulplay,,futuresight,gigaimpact,grassknot,,guardswap,,,,helpinghand,hex,,hurricane,hyperbeam,icebeam,icepunch,icywind,imprison,,,,lifedew,lightscreen,lowkick,lowsweep,,,,,,metronome,,,mist,,nastyplot,,,nightshade,,poisonjab,powergem,powerswap,,protect,psybeam,psychic,psychicterrain,psychocut,,psyshock,psystrike,,,raindance,recover,,reflect,rest,,reversal,,rockslide,,rocktomb,,,safeguard,sandstorm,scaryface,,,,shadowball,,,skillswap,,sleeptalk,,,solarbeam,,stompingtantrum,stoneedge,storedpower,,,substitute,sunnyday,,swift,takedown,taunt,,,terablast,thunder,thunderbolt,thunderpunch,thunderwave,,,trailblaze,,trick,trickroom,,,willowisp,,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mew ,acidspray,acrobatics,aerialace,,agility,aircutter,airslash,,amnesia,ancientpower,,,,aurasphere,,avalanche,,batonpass,,,,blastburn,,blizzard,,bodypress,bodyslam,,bravebird,,brickbreak,,,,,bugbuzz,bulkup,bulldoze,bulletseed,,calmmind,,chargebeam,charm,chillingwater,closecombat,,,confuseray,,,,,,,crunch,,,,darkpulse,dazzlinggleam,,,,dig,disarmingvoice,,,,dracometeor,,dragonclaw,dragondance,dragonpulse,,dragontail,drainingkiss,drainpunch,,drillrun,,,,earthpower,earthquake,,eerieimpulse,,electricterrain,electroball,,,encore,,endure,energyball,,,facade,,faketears,falseswipe,,fireblast,firefang,firepledge,firepunch,firespin,,flamecharge,flamethrower,flareblitz,,flashcannon,fling,,fly,focusblast,,,foulplay,frenzyplant,,,,,,gigadrain,gigaimpact,grassknot,grasspledge,,grassyterrain,,,gunkshot,,,,,,heatwave,heavyslam,helpinghand,hex,,,,,hurricane,hydrocannon,hydropump,hyperbeam,hypervoice,,icebeam,icefang,icepunch,icespinner,,icywind,imprison,,,irondefense,ironhead,,,,,,,leafstorm,leechlife,lifedew,lightscreen,liquidation,lowkick,lowsweep,magicalleaf,,,,,,,,,metalclaw,,metronome,,,mistyterrain,,mudshot,mudslap,,nastyplot,,,,nightshade,,outrage,overheat,,,,phantomforce,,playrough,,poisonjab,poisontail,pollenpuff,,pounce,pound,powergem,,,,protect,psybeam,psychic,psychicfangs,psychicterrain,,,psyshock,,,,raindance,,,,reflect,reflecttype,rest,,,,reversal,,,rockblast,,,rockslide,,rocktomb,,,,,,sandstorm,,,,scaryface,,,,seedbomb,,,shadowball,shadowclaw,,,,skillswap,,,,,sleeptalk,sludgebomb,,,smartstrike,snarl,,,snowscape,,solarbeam,,,spikes,,stealthrock,steelbeam,,,stompingtantrum,stoneedge,storedpower,,,strugglebug,,substitute,,sunnyday,,,surf,,,swift,swordsdance,,,tailwind,takedown,taunt,,,terablast,,thief,,thunder,thunderbolt,thunderfang,thunderpunch,thunderwave,,,toxicspikes,trailblaze,transform,,trick,trickroom,,,,uturn,,,venoshock,voltswitch,waterfall,,waterpledge,waterpulse,,,,wildcharge,willowisp,,,,xscissor,,zenheadbutt
cyndaquil ,aerialace,,,bodyslam,,,,covet,,curse,,defensecurl,,dig,doubleedge,doublekick,,ember,endure,eruption,extrasensory,facade,fireblast,firefang,firepledge,firespin,,flamecharge,flamethrower,flamewheel,flareblitz,,,,,heatwave,,howl,,inferno,ironhead,,lavaplume,leer,,,,,overheat,playrough,protect,quickattack,rest,,reversal,rollout,,,sleeptalk,smokescreen,,,substitute,sunnyday,,swift,tackle,takedown,terablast,,,wildcharge,willowisp,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quilava ,aerialace,,bodyslam,brickbreak,,,,,,,defensecurl,,dig,doubleedge,,ember,endure,eruption,facade,fireblast,firefang,firepledge,firespin,flamecharge,flamethrower,flamewheel,flareblitz,,,,,heatwave,,,inferno,ironhead,,lavaplume,leer,,,,,overheat,playrough,protect,quickattack,rest,,reversal,,,rollout,,,sleeptalk,smokescreen,,,substitute,sunnyday,,swift,tackle,takedown,terablast,,wildcharge,willowisp,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typhlosion ,aerialace,,blastburn,bodyslam,brickbreak,bulldoze,,,,,,,,defensecurl,,dig,doubleedge,,,earthquake,ember,endure,eruption,facade,fireblast,firefang,firepledge,firepunch,firespin,flamecharge,flamethrower,flamewheel,flareblitz,fling,focusblast,,,,gigaimpact,gyroball,,heatwave,helpinghand,,hyperbeam,,inferno,ironhead,,,lavaplume,leer,lowkick,,,,,,,overheat,playrough,,protect,quickattack,rest,,reversal,,,rockslide,,rocktomb,rollout,,,,shadowball,shadowclaw,sleeptalk,smokescreen,,solarbeam,stompingtantrum,,substitute,sunnyday,,swift,tackle,takedown,terablast,,thunderpunch,,wildcharge,willowisp,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typhlosionhisui ,aerialace,blastburn,bodyslam,brickbreak,bulldoze,calmmind,confuseray,defensecurl,dig,doubleedge,earthquake,ember,endure,eruption,facade,fireblast,firefang,firepledge,firepunch,firespin,flamecharge,flamethrower,flamewheel,flareblitz,focusblast,gigaimpact,gyroball,heatwave,hex,hyperbeam,infernalparade,inferno,ironhead,lavaplume,leer,lowkick,nightshade,overheat,playrough,protect,quickattack,rest,reversal,rockslide,rollout,shadowball,shadowclaw,sleeptalk,smokescreen,solarbeam,stompingtantrum,substitute,sunnyday,swift,tackle,takedown,terablast,thunderpunch,wildcharge,willowisp,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mareep ,afteryou,agility,,bodyslam,,charge,chargebeam,,confuseray,cottonguard,cottonspore,,dazzlinggleam,,dig,discharge,,,,eerieimpulse,electricterrain,electroball,electroweb,endure,facade,,flatter,,growl,,,helpinghand,,,,lightscreen,,,,,powergem,protect,raindance,reflect,rest,,,,,,,,,sleeptalk,,substitute,sunnyday,,,tackle,takedown,terablast,thunder,thunderbolt,thundershock,thunderwave,,trailblaze,voltswitch,wildcharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaaffy ,,agility,,bodyslam,brickbreak,,charge,chargebeam,,confuseray,cottonguard,cottonspore,,,dazzlinggleam,,dig,discharge,,,,,eerieimpulse,electricterrain,electroball,,endure,facade,firepunch,,fling,,,growl,,,helpinghand,,icepunch,,lightscreen,lowkick,,,,,,powergem,,protect,raindance,reflect,rest,,,,,,,,,sleeptalk,,,substitute,sunnyday,,swift,tackle,takedown,terablast,thunder,thunderbolt,thunderpunch,thundershock,thunderwave,,trailblaze,voltswitch,wildcharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampharos ,,agility,,bodyslam,brickbreak,,bulldoze,,charge,chargebeam,,confuseray,cottonguard,cottonspore,,,dazzlinggleam,,dig,discharge,,,dragonpulse,dragontail,,,eerieimpulse,electricterrain,electroball,,endure,facade,firepunch,,fling,focusblast,,,gigaimpact,growl,,,helpinghand,,hyperbeam,icepunch,,,,lightscreen,lowkick,magneticflux,,,,,,outrage,powergem,,protect,raindance,reflect,rest,,,,,,,,,,sleeptalk,,stompingtantrum,,substitute,sunnyday,,swift,tackle,takedown,terablast,thunder,thunderbolt,thunderpunch,thundershock,thunderwave,,trailblaze,voltswitch,wildcharge,zapcannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azurill ,aquajet,,bellydrum,blizzard,bodyslam,bounce,,,bubblebeam,,,charm,,copycat,,,,,drainingkiss,encore,endure,facade,faketears,,,,helpinghand,,hypervoice,icebeam,icywind,,,lightscreen,,,mudshot,mudslap,,perishsong,present,protect,raindance,,rest,,,,,,sing,slam,sleeptalk,,soak,splash,substitute,supersonic,surf,,,tailwhip,takedown,terablast,tickle,,,waterfall,watergun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marill ,amnesia,,aquaring,aquatail,,,blizzard,bodyslam,bounce,brickbreak,,,bubblebeam,bulldoze,,,charm,chillingwater,,,,,defensecurl,dig,disarmingvoice,,doubleedge,,drainingkiss,,encore,endure,facade,faketears,fling,,,,,grassknot,,,helpinghand,,hydropump,hypervoice,icebeam,icepunch,icespinner,icywind,,,lightscreen,liquidation,,,metronome,,,mistyterrain,,mudshot,mudslap,,,playrough,,,protect,raindance,,rest,,,rollout,,,,,,slam,sleeptalk,,snowscape,,,,substitute,superpower,,surf,,swift,tackle,tailwhip,takedown,terablast,,,trailblaze,,waterfall,watergun,waterpulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azumarill ,amnesia,aquaring,aquatail,,blizzard,bodyslam,bounce,brickbreak,,,bubblebeam,bulldoze,,charm,chillingwater,,,,defensecurl,dig,disarmingvoice,,doubleedge,,drainingkiss,,encore,endure,facade,faketears,fling,focusblast,,,,gigaimpact,grassknot,,,helpinghand,,hydropump,hyperbeam,hypervoice,icebeam,icepunch,icespinner,icywind,,,lightscreen,liquidation,,,metronome,,,mistyterrain,,mudshot,mudslap,,playrough,,protect,raindance,rest,,,rollout,,,,,slam,sleeptalk,,snowscape,,,substitute,superpower,surf,,swift,tackle,tailwhip,takedown,terablast,,trailblaze,,waterfall,watergun,waterpulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
